rank,cum_expected_profit
507,9820.238279829684
508,9833.824849425222
509,9847.321218818204
510,9860.76870824041
511,9874.198042132673
512,9887.625093129163
513,9900.927596987081
514,9914.200957474948
515,9927.43566936388
516,9940.619148394144
517,9953.798327977238
518,9966.976407626795
519,9980.08793170901
520,9993.17991240606
521,10006.245312256602
522,10019.284623417521
523,10032.315535603646
524,10045.344222742142
525,10058.365225883275
526,10071.360166239308
527,10084.284916485034
528,10097.177828641446
529,10109.933672146872
530,10122.643246642785
531,10135.348315410196
532,10148.041485181051
533,10160.668979841948
534,10173.24865763523
535,10185.80795577702
536,10198.366354470912
537,10210.916511953912
538,10223.461371401585
539,10235.99188979508
540,10248.455267309326
541,10260.897633479117
542,10273.319299741732
543,10285.732954423831
544,10298.100720332797
545,10310.449569070986
546,10322.751387230972
547,10335.052213556377
548,10347.336822717798
549,10359.605477965359
550,10371.850334646031
551,10384.091737207156
552,10396.321409970205
553,10408.548299229069
554,10420.747398468899
555,10432.913732314904
556,10445.024882468737
557,10457.11148554467
558,10469.158374690898
559,10481.201894884882
560,10493.243907264801
561,10505.275396785044
562,10517.300564411602
563,10529.313115278275
564,10541.296511681227
565,10553.265945041925
566,10565.194356319855
567,10577.048931508913
568,10588.897532969273
569,10600.725118257351
570,10612.540024712825
571,10624.30369783659
572,10636.048492234122
573,10647.789135440822
574,10659.517618796364
575,10671.23761356855
576,10682.943983364363
577,10694.58741228706
578,10706.22304049209
579,10717.831059847707
580,10729.439031153493
581,10740.963931031954
582,10752.44891145045
583,10763.903641160612
584,10775.29391730313
585,10786.683343013812
586,10798.06466511152
587,10809.433593933825
588,10820.785166385422
589,10832.117972449742
590,10843.424534686801
591,10854.702747611955
592,10865.979177153806
593,10877.251854769116
594,10888.488966376506
595,10899.70160253398
596,10910.912190164372
597,10922.10272069115
598,10933.292259039814
599,10944.3711754597
600,10955.40773598692
601,10966.434885003206
602,10977.460896331333
603,10988.481998550391
604,10999.469466367278
605,11010.455315683945
606,11021.434517596474
607,11032.337207572917
608,11043.21297051755
609,11054.071904237868
610,11064.927365583415
611,11075.746206355141
612,11086.564659383845
613,11097.368872859883
614,11108.170658567942
615,11118.969370556895
616,11129.764355653631
617,11140.551628574636
618,11151.323812197212
619,11162.005957526157
620,11172.668045461978
621,11183.27308970944
622,11193.869627483014
623,11204.426696605164
624,11214.974507112809
625,11225.49902319872
626,11236.01085831718
627,11246.518288486739
628,11256.985692365357
629,11267.43128766565
630,11277.86274575338
631,11288.264705377205
632,11298.61915690605
633,11308.971627674908
634,11319.234137442083
635,11329.445895526633
636,11339.63841124188
637,11349.824099353633
638,11360.007924674466
639,11370.191388963112
640,11380.340841967562
641,11390.473750045972
642,11400.581333876618
643,11410.688804842666
644,11420.78242586188
645,11430.865770138877
646,11440.92731663993
647,11450.920513729665
648,11460.838418651747
649,11470.711067878503
650,11480.580283938518
651,11490.438460150019
652,11500.295281115057
653,11510.14113266315
654,11519.937849722954
655,11529.72907206519
656,11539.50653582441
657,11549.23633020325
658,11558.954911494076
659,11568.666088298787
660,11578.361619141688
661,11588.01853303515
662,11597.659915630467
663,11607.300580998153
664,11616.930899744502
665,11626.556157742853
666,11636.175119389909
